CODIGO,DESCRIPCION,CALIDAD,COLOR,PRECIO_1,PRECIO_2
DD668B01F-D,X14PRO MAX-(Diagnóstico) (Diagnóstico),ORIG,NEGRO,$952.00,$864.00
14PROMAX-H,X14PRO MAX(MOVIL IC),HG FHD INCELL 120HZ COG S/M,NEGRO,$483.00,$439.00
I032-F,X14PRO MAX(MOVIL IC) S/M(BOUTIQUE),ORIG,NEGRO,$846.00,$769.00
DD609B02F-D,X14PRO-(Diagnóstico) (Diagnóstico),ORIG,NEGRO,$985.00,$894.00
RF-6114P-F,X14PRO(MOVIL IC),HG SOFT OLED S/M,NEGRO,$1192.00,$1082.00
I030-F,X14PRO(MOVIL IC) S/M(BOUTIQUE),ORIG,NEGRO,$548.00,$498.00
15-H,X15(MOVIL IC) S/M(BOUTIQUE),ORIG,NEGRO,$319.00,$290.00
V0045,X15,INCELL+ S/M(MOVIL IC),NEGRO,$350.00,$318.00
V0049,X15 (MOVIL IC),CARTAN HARD OLED S/M,NEGRO,$1490.00,$1350.00
V0047,X15 PLUS(MOVIL IC),INCELL S/M,NEGRO,$392.00,$355.00
V0046,X15 PRO,INCELL+ S/M(MOVIL IC),NEGRO,$415.00,$377.00
PPW61150,X15(MOVIL IC),HG FHD INCELL COG S/M,NEGRO,$350.00,$318.00
I035,X15(MOVIL IC),HG FHD COF S/M(BOUTIQUE),NEGRO,$435.00,$395.00
X15,OLED-IC X15(MOVIL IC),AMOLED S/M,NEGRO,$2130.00,$1930.00
DD668B03F,X15PLUS(MOVIL IC),DD-SOFT OLED S/M,NEGRO,$1488.00,$1348.00
DD609B03F-D,X15PRO (Diagnóstico),ORIG,NEGRO,$1625.00,$1475.00
I034,X15PRO,HG FHD S/M(BOUTIQUE),NEGRO,$597.00,$542.00
DD609B03F,X15PRO (MOVIL IC),DD-SOFT OLED S/M,NEGRO,$1029.00,$935.00
DD668B02F-D,X15PRO MAX (Diagnóstico),ORIG,NEGRO,$1685.00,$1530.00
RF-6715PM-F,X15PRO MAX,HG SOFT OLED(ORIG BOUTIQUE),NEGRO,$1248.00,$1132.00
DD668B02F,X15PRO MAX (MOVIL IC),DD-SOFT OLED S/M,NEGRO,$908.00,$825.00
V0048,X15PRO MAX,CARTAN INCELL S/M(MOVIL IC),NEGRO,$468.00,$425.00
I033-F,X15PRO MAX(MOVIL IC) S/M(BOUTIQUE),ORIG,NEGRO,$786.00,$714.00
RF-6115P-F,X15PRO(MOVIL IC),HG SOFT OLED S/M(BOUTIQUE),NEGRO,$1163.00,$1148.00
V0IP16IN,X16,INCELL+ S/M(MOVIL IC),NEGRO,$408.00,$361.00
V0IP16PSIN,X16 PLUS(MOVIL IC),INCELL S/M,NEGRO,$512.00,$465.00
V0IP16PMIN,X16 PRO MAX,CARTAN INCELL S/M(MOVIL IC),NEGRO,$828.00,$752.00
PPW61160,X16(MOVIL IC),HG FHD INCELL COG S/M,NEGRO,$395.00,$358.00
DD609B04F,X16(MOVIL IC),DD-SOFT OLED S/M,NEGRO,$1488.00,$1348.00
I036,X16(MOVIL IC),HG FHD COF S/M(BOUTIQUE),NEGRO,$707.00,$642.00
I037-F,X16PRO MAX(MOVIL IC) S/M(BOUTIQUE),ORIG,NEGRO,$845.00,$768.00
DD677A01F,X16PRO MAX(MOVIL IC) DD-HARD,OLED S/M,NEGRO,$2400.00,$2180.00
I038-F,X16PRO(MOVIL IC),HG FHD INCELL+ COF 120HZ S/M,NEGRO,$816.00,$742.00
DD619A01F,X16PRO(MOVIL IC) DD-HARD,OLED S/M,NEGRO,$2058.00,$1868.00
PPW61102,XR,HG FHD INCELL COG S/M,NEGRO,$203.00,$184.00
I016-F,XR,HG FHD+ ORIG S/M(BOUTIQUE),NEGRO,$273.00,$248.00
PPW58101,XS,HG FHD INCELL COG S/M,NEGRO,$193.00,$175.00
V0012,XS,INCELL S/M,NEGRO,$209.00,$190.00
I015,XS,HG FHD S/M(BOUTIQUE),NEGRO,$229.00,$208.00
V0038,XS HD,INCELL S/M,NEGRO,$169.00,$159.00
LF-XS-F,XS (MOVIL IC),HG OLED COF S/M(BOUTIQUE),NEGRO,$524.00,$476.00
PPW65105,XS MAX,HG FHD INCELL COG S/M,NEGRO,$234.00,$212.00
I017-F,XS MAX,HG FHD S/M(BOUTIQUE),NEGRO,$285.00,$259.00
LG,,,,,
H0777,K22,ORIG S/M,NEGRO,$172.00,$156.00
H0512,K41S,ORIG S/M,NEGRO,$153.00,$139.00
H0422,K42/K52/K62,ORIG S/M,NEGRO,$170.00,$155.00
H0909,K50,ORIG S/M,NEGRO,$184.00,$167.00
H0551,K51,ORIG S/M,NEGRO,$162.00,$147.00
